nameAR,nameFR,wilayaCode,wilayaNameAR,wilayaNameFR,cityNameAR,cityNameFR,rating,recommended,category,descriptionAR,descriptionFR,descriptionEN,phone,email,location_link,facebook_link,instagram_link,tiktok_link,created_at,updated_at
مطعم قعدة زمان,Kaadat Zaman,25,قسنطينة,Constantine,قسنطينة,Constantine,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/JsZDwyDGDp3ykdHs5,NULL,NULL,NULL,NULL,NULL
خيمة الحاج احسن,Khaymat El Hadj Ahcene,NULL,NULL,NULL,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/8et2GHR6DJBSxcS29,NULL,NULL,NULL,NULL,NULL
ضيافة دار الزليج,Dar Zellige Restaurant,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/3fQex4eBu2Narhni9
دويرة العز,Dwiret El azz,16,الجزائر,Alger,NULL,NULL,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/EY6jFfyARSu3Wkku7
قصر ومطعم تفيلالت,Tafilelt Palace and Restaurant,47,غرداية,Ghardaïa,بني يزقن,Beni Isguen,4.5,false,2,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/tTbp23NmTWDGagcf6
تقيميت ن تيزفري,Taqimit Tizefri n tacha,47,غرداية,Ghardaïa,العطف,El Atteuf,4.5,false,5,صالون شاي تقليدي,Salon de thé traditionnel,NULL,NULL,NULL,https://maps.app.goo.gl/DEpXw7NgrsSXQ2Qr9
فندق الجنوب,El Djanoub Hotel,47,غرداية,Ghardaïa,غرداية,Ghardaia,4.5,false,1,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/hH2EsChxDhFJGW1RA
حديقة النخيل,PALM GARDEN,NULL,NULL,NULL,NULL,NULL,4.5,false,5,مركز ترفيهي,Centre de loisirs,NULL,NULL,NULL,https://maps.app.goo.gl/YafiyXyWA3p6hRN1A
فندق مزاب,Hôtel M'zab,47,غرداية,Ghardaïa,غرداية,Ghardaia,4.5,false,1,NULL,NULL,NULL,NULL,NULL,https://maps.app.goo.gl/AoeWVXYhWYUCEvvN7
إقامة البرجين,Les Deux Tours,NULL,NULL,NULL,NULL,NULL,4.5,false,4,إقامة سياحية,Résidence touristique,NULL,NULL,NULL,https://maps.app.goo.gl/x21HKSDedvBWoj5E6
